team_name,elo_rating,goals_scored,goals_conceded,xg,matches_played,form_score
Argentina,1985,36,12,2.05,18,0.86
Brazil,2012,39,14,2.18,18,0.84
France,1994,34,13,1.98,18,0.82
England,1958,32,15,1.89,18,0.79
Spain,1944,31,14,1.84,18,0.78
Germany,1918,30,16,1.76,18,0.74
Portugal,1926,29,14,1.82,18,0.77
Netherlands,1932,30,15,1.86,18,0.76
Belgium,1884,28,16,1.72,18,0.72
Croatia,1860,25,17,1.64,18,0.7
Uruguay,1858,24,16,1.62,18,0.69
Denmark,1836,23,17,1.57,18,0.67
Switzerland,1818,22,18,1.5,18,0.66
USA,1784,23,21,1.46,18,0.63
Mexico,1778,22,21,1.44,18,0.62
Japan,1769,23,20,1.48,18,0.64
South Korea,1752,21,22,1.38,18,0.6
Morocco,1822,24,17,1.6,18,0.68
Senegal,1791,22,20,1.45,18,0.62
Nigeria,1748,21,23,1.35,18,0.58
Cameroon,1724,20,24,1.31,18,0.56
Ghana,1732,20,23,1.33,18,0.57
Serbia,1762,23,22,1.43,18,0.61
Poland,1780,22,21,1.41,18,0.61
Sweden,1805,24,19,1.52,18,0.65
Austria,1794,23,19,1.49,18,0.64
Turkey,1788,23,21,1.47,18,0.63
Iran,1758,21,21,1.36,18,0.59
Saudi Arabia,1698,18,27,1.2,18,0.48
Qatar,1684,17,28,1.16,18,0.46
Canada,1712,19,25,1.26,18,0.52
Australia,1738,20,23,1.32,18,0.56
